Word,Example
additional crop,"ICLF systems yield beef cattle productivity up to ten times that of degraded pastures, additional crop production from maize, sorghum, and soybean harvests, and greatly reduced greenhouse gas balances due to forest carbon sequestration."
agricultural activities,"In addition, incidences of death, injury and illness related to agricultural activities often go unreported."
agricultural country,Nepal is an agricultural country and about 80% of the total population are engaged in farming.
agricultural development,Agricultural development in Britain between the 16th century and the mid-19th century saw a massive increase in agricultural productivity and net output.
agricultural marketing,"In the United States, and elsewhere, food costs attributed to food processing, distribution, and agricultural marketing, sometimes referred to as the value chain, have risen while the costs attributed to farming have declined."
agricultural methods,"The food demand of Earth's projected population, with current climate change predictions, could be satisfied by improvement of agricultural methods."
agricultural operations,The 2011 UNEP Green Economy report stated that agricultural operations produced some 13 per cent of anthropogenic global greenhouse gas emissions.
agricultural processes,A farm is an area of land that is devoted primarily to agricultural processes with the primary objective of producing food and other crops.
agriculture,"At the same time, agriculture has been shown to produce significant effects on climate change."
agriculture cause,"Agriculture is both a cause of and sensitive to environmental degradation, such as biodiversity loss, desertification, soil degradation and global warming, which cause decrease in crop yield."
agriculture due concerns,"NPK fertilizers stimulated the first concerns about industrial agriculture, due to concerns that they came with side effects such as soil compaction, soil erosion, and declines in overall soil fertility."
agriculture involving cultivation,"A specialized branch of aquaculture involving the cultivation of algae, with the goal of producing any of a variety of products that can be used by humans."
agriculture organization,The Food and Agriculture Organization of the United Nations (FAO) leads international efforts to defeat hunger and provides a forum for the negotiation of global agricultural regulations and agreements.
agriculture practices,Air pollution caused by agriculture through land use changes and animal agriculture practices have an outsized impact on climate change.
agriculture refers,"While agriculture usually refers to human activities, certain species of ant, termite and beetle have been cultivating crops for up to 60 million years."
agriculture specialized labor,"By the Bronze Age, the Sumerians had an agriculture specialized labor force by 5000–4000 BCE"
agriculture typically,"Any organic matter that is used as an organic fertilizer in agriculture, typically consisting of animal excreta, compost, and/or plant material."
agriculture varies,The environmental impact of agriculture varies widely based on practices employed by farmers and by the scale of practice.
based livestock,"Grassland based livestock production relies upon plant material such as shrubland, rangeland, and pastures for feeding ruminant animals."
breeds,"During the second half of the 20th century, producers using selective breeding focused on creating livestock breeds and crossbreeds that increased production."
changes,Altering crops through breeding practices changes the genetic make-up of a plant to develop crops.
combine harvester,"Farm equipment has evolved over the centuries from simple hand tools such as the hoe, through ox- or horse-drawn equipment such as the plough and harrow, to the modern highly technical machinery such as the tractor, baler and combine harvester replacing what was a highly labour-intensive occupation before the Industrial revolution."
control,The process by which humans use animal breeding and plant breeding to selectively control the development of particular phenotypic traits in organisms by choosing which individual organisms will reproduce and create offspring.
controlled amounts,"The application of controlled amounts of water to plants at needed intervals, especially for the purposes of growing agricultural crops, maintaining landscapes, or revegetating disturbed or drought-affected soils."
crop,The process of gathering a ripe crop from an agricultural field.
crop allowed,"A row of cut or mown hay or small grain crop that is allowed to dry in a field before being baled, combined, or rolled."
crop dependence,"Before the adoption of the potato as a major crop, the dependence on grain had caused repetitive regional and national famines when the crops failed."
crops included wheat,"Crops included wheat, rye, barley and oats."
crops specifically designed,"This has been achieved through not only the use of fertilisers, but through the use of better crops that have been specifically designed for the area."
crops trade,"Roman agriculture was built on techniques originally pioneered by the Sumerians, transmitted to them by subsequent cultures, with a specific emphasis on the cultivation of crops for trade and export."
cultivate rice,"In the most intensive situation, farmers may even create terraces along steep hillsides to cultivate rice paddies."
cultivation,The earliest rice cultivation there may have used dry-fields instead of paddies.
cultures farmers,"In the context of developing nations or other pre-industrial cultures, most farmers practice a meager subsistence agriculture."
domesticated,"Two major crops, pecans and Concord grapes, were utilized extensively in prehistoric times but do not appear to have been domesticated until the 19th century."
domesticated region,"Other Mesoamerican crops include hundreds of varieties of locally domesticated squash and beans, while cocoa, also domesticated in the region, was a major crop."
employed farmers,The environmental impact of agriculture varies widely based on practices employed by farmers and by the scale of practice.
environment,"However, critics argue that a trade-off between the environment and a need for food is not inevitable and that pesticides simply replace good agronomic practices such as crop rotation."
environmental cost,The environmental cost of transportation could be avoided if people use local products.
europe agriculture,"In the Middle Ages, both in the Islamic world and in Europe, agriculture was transformed with improved techniques and the diffusion of crop plants, including the introduction of sugar, rice, cotton and fruit trees such as the orange."
europe world crops,"After 1492 the Columbian exchange brought New World crops such as maize, potatoes, tomatoes, sweet potatoes and manioc to Europe, and Old World crops such as wheat, barley, rice and turnips, and livestock (including horses, cattle, sheep and goats) to the Americas."
farm,"Medieval feudalism was essentially a system that centralized control of farmland, control of farm labor and political power."
farm units,"Costs decrease with increasing scale of farm units, such as making fields larger."
farmer,These seeds allow the farmer to grow a crop that can be sprayed with herbicides to control weeds without harming the resistant crop.
farmer produce,A modern-day farmer produces enough food to feed well over a hundred people.
farmers create,"In the most intensive situation, farmers may even create terraces along steep hillsides to cultivate rice paddies."
farming meat,"Free range, the term may apply to farming for meat, eggs, or dairy products"
farming system,"The output of the farm targeted principally at fulfilling basic survival needs and local requirements and generally implies small amounts of inputs, use of crude or traditional farming tools."
farming techniques,"An integrated farming system is a progressive, sustainable agriculture system such as zero waste agriculture or integrated multi-trophic aquaculture."
farming tools,"The ecocentric approach emphasizes no- or low-growth levels of human development, and focuses on organic and biodynamic farming techniques with the goal of changing consumption patterns."
farming using,There is not enough water to continue farming using current practices.
farms america,"Between 1967 and 2002, one million pig farms in America consolidated into 114,000, with 80 percent of the production on factory farms."
farms individually,"Agricultural cooperatives may be distinguished between ""service"" cooperatives, which provide inputs for agricultural production (seeds, fertilizers, fuels, etc.) or transportation and marketing services to members who run their farms individually."
fertilizer,"Bad managament practices include poorly managed animal feeding operations, overgrazing, plowing, fertilizer, and improper, excessive, or badly timed use of pesticides."
fertilizer form,"The introduction of the potato also brought about the first intensive use of fertilizer, in the form of guano imported to Europe from Peru."
fertilizers global agricultural,Management techniques range from animal management and housing to the spread of pesticides and fertilizers in global agricultural practices.
field,"Agricultural science is a broad multidisciplinary field of biology that encompasses the parts of exact, natural, economic and social sciences used in the practice and understanding of agriculture."
food crops,"Important categories of food crops include cereals, legumes, forage, fruits and vegetables."
found soil,Phosphorus is found in the soil in both inorganic and organic forms.
genetic,Increasing the diversity of crops by introducing new genetic resources can increase yields.
grain,"However, some grains like rice, for example, have been successfully genetically modified to be drought resistant."
grain varieties,"The firm's first introduction was Abundance Oat, one of the first agricultural grain varieties bred from a controlled cross, introduced to commerce in 1892."
